index,description,tweet_lemma,label_model
0,Pergerakan Mahasiswa Islam Indonesia (PMII) hampir menerobos gerbang Balai Kota DKI Jakarta saat demonstrasi tolak kenaikan harga BBM. #TempoMetro https://t.co/qLMK4T3bbB,Pergerakan Mahasiswa Islam Indonesia  PMII  hampir menerobos gerbang Balai Kota DKI Jakarta saat demonstrasi tolak kenaikan harga BBM   TempoMetro  ,negatif
1,"Demo menolak kenaikan harga BBM bersubsidi di kawasan Patung Kuda, Jakarta Pusat, diwarnai aksi pencopetan yang membuat puluhan peserta aksi kehilangan hand phone (HP) nya.
https://t.co/sEOlzl8MNW https://t.co/lOzpz6S5Mh",Demo menolak kenaikan harga BBM bersubsidi di kawasan Patung Kuda  Jakarta Pusat  diwarnai aksi pencopetan yang membuat puluhan peserta aksi kehilangan hand phone  HP  nya     ,negatif
2,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK     TOLAK KENAIKAN HARGA BBM    Link      SEBARKAN TEMAN     TV TIDAK MENYIARKAN    SURABAYA BERGERAK    ALLAHU AKBAR      BBMNaikRakyatRevolusi   BBMNaikRakyatRevolusi  ,negatif
3,"Demo menolak kenaikan BBM bersubsidi dilakukan di seluruh negeri. Ini luar biasa tidak pernah terjadi sebelumnya. Mengapa terjadi demo sedemikian masif. Sila baca analisis saya sebagai sosiolog.

https://t.co/JyH25flOl7",Demo menolak kenaikan BBM bersubsidi dilakukan di seluruh negeri  Ini luar biasa tidak pernah terjadi sebelumnya  Mengapa terjadi demo sedemikian masif  Sila baca analisis saya sebagai sosiolog    ,negatif
4,"Avengers akhirnya ikut serta dibarisan abang² Mahasiswa untuk Menolak Kenaikan Harga BBM, kawasan Patung Kuda Jakarta.. ??????? (13/Sept/2022) https://t.co/HIqRmHimhG",Avengers akhirnya ikut serta dibarisan abang  Mahasiswa untuk Menolak Kenaikan Harga BBM  kawasan Patung Kuda Jakarta              Sept     ,negatif
5,@Inijuju1 Yess apakah pengalihan kasus yg lebih besarrrr dari data negara? Kasus yg lebih besar daripada kenaikan tiba2 bbm? Apakah kenaikan bbm tiba tiba pun untuk pengalihan isu yg lebih besar lagikah ?? ????????????,  Yess apakah pengalihan kasus yg lebih besarrrr dari data negara  Kasus yg lebih besar daripada kenaikan tiba  bbm  Apakah kenaikan bbm tiba tiba pun untuk pengalihan isu yg lebih besar lagikah                ,netral
6,"Massa aksi sudah tiba di gedung Grahadi Surabaya, bersiap menyampaikan aspirasi dan tuntutan rakyat terutama atas kenaikan harga BBM. ??

Bersama @MprAldo dan @aliansibem_si

#PanjangUmurPerjuangan
#SurabayaPejuang
#IndonesiaBangkit https://t.co/MPna7F3bOa",Massa aksi sudah tiba di gedung Grahadi Surabaya  bersiap menyampaikan aspirasi dan tuntutan rakyat terutama atas kenaikan harga BBM      Bersama   dan     PanjangUmurPerjuangan  SurabayaPejuang  IndonesiaBangkit  ,negatif
7,Terus Bergerak Tolak Kenaikan Harga BBM..!!! https://t.co/loNqtYG43E,Terus Bergerak Tolak Kenaikan Harga BBM       ,negatif
8,Kata ketua PBNU kenaikan BBM bisa dipahami pak. Internal NU tidak kompak? https://t.co/r3PtdZpAE7,Kata ketua PBNU kenaikan BBM bisa dipahami pak  Internal NU tidak kompak   ,netral
9,"Contoh pemimpin sejati.
Gubernur Sumut temui massa demo kenaikan BBM.
""Indonesia tidak dalam kondisi baik2 saja"" https://t.co/c3js2buDmE",Contoh pemimpin sejati  Gubernur Sumut temui massa demo kenaikan BBM   Indonesia tidak dalam kondisi baik  saja   ,positif
